"","UF","ano","rend","name"
"518","BA","1995/96","120.5","algodao"
"519","CE","1995/96","80","algodao"
"520","DF","1995/96","0","algodao"
"521","ES","1995/96","0","algodao"
"522","GO","1995/96","76.400000000000006","algodao"
"523","MA","1995/96","0","algodao"
"524","MT","1995/96","58.100000000000001","algodao"
"525","MS","1995/96","63.700000000000003","algodao"
"526","MG","1995/96","50.100000000000001","algodao"
"527","PA","1995/96","5.0999999999999996","algodao"
"528","PB","1995/96","29.899999999999999","algodao"
"529","PR","1995/96","197.40000000000001","algodao"
"530","PE","1995/96","12.300000000000001","algodao"
"531","PI","1995/96","59","algodao"
"532","RJ","1995/96","0","algodao"
"533","RN","1995/96","46.5","algodao"
"534","RS","1995/96","0","algodao"
"535","RO","1995/96","12","algodao"
"536","RR","1995/96","0","algodao"
"537","SC","1995/96","0","algodao"
"538","SP","1995/96","120.8","algodao"
"539","SE","1995/96","5.0999999999999996","algodao"
"540","TO","1995/96","0","algodao"
"541","AC","1996/97","0","algodao"
"542","AL","1996/97","16","algodao"
"543","AP","1996/97","0","algodao"
"544","AM","1996/97","0","algodao"
"545","BA","1996/97","148.30000000000001","algodao"
"546","CE","1996/97","36","algodao"
"547","DF","1996/97","0","algodao"
"548","ES","1996/97","0","algodao"
"549","GO","1996/97","84","algodao"
"550","MA","1996/97","0","algodao"
"551","MT","1996/97","55.200000000000003","algodao"
"552","MS","1996/97","25.5","algodao"
"553","MG","1996/97","53.600000000000001","algodao"
"554","PA","1996/97","2.1000000000000001","algodao"
"555","PB","1996/97","24.100000000000001","algodao"
"556","PR","1996/97","59.200000000000003","algodao"
"557","PE","1996/97","8.5","algodao"
"558","PI","1996/97","33.200000000000003","algodao"
"559","RJ","1996/97","0","algodao"
"560","RN","1996/97","25","algodao"
"561","RS","1996/97","0","algodao"
"562","RO","1996/97","5.2000000000000002","algodao"
"563","RR","1996/97","0","algodao"
"564","SC","1996/97","0","algodao"
"565","SP","1996/97","78.5","algodao"
"566","SE","1996/97","3.1000000000000001","algodao"
"567","TO","1996/97","0","algodao"
"568","AC","1997/98","0","algodao"
"569","AL","1997/98","12.800000000000001","algodao"
"570","AP","1997/98","0","algodao"
"571","AM","1997/98","0","algodao"
"572","BA","1997/98","111.2","algodao"
"573","CE","1997/98","41.100000000000001","algodao"
"574","DF","1997/98","0","algodao"
"575","ES","1997/98","0","algodao"
"576","GO","1997/98","180.59999999999999","algodao"
"577","MA","1997/98","0","algodao"
"578","MT","1997/98","109.90000000000001","algodao"
"579","MS","1997/98","49","algodao"
"580","MG","1997/98","78.799999999999997","algodao"
"581","PA","1997/98","2.1000000000000001","algodao"
"582","PB","1997/98","14.6","algodao"
"583","PR","1997/98","116.59999999999999","algodao"
"584","PE","1997/98","2.7999999999999998","algodao"
"585","PI","1997/98","14.6","algodao"
"586","RJ","1997/98","0","algodao"
"587","RN","1997/98","18.199999999999999","algodao"
"588","RS","1997/98","0","algodao"
"589","RO","1997/98","4.2000000000000002","algodao"
"590","RR","1997/98","0","algodao"
"591","SC","1997/98","0","algodao"
"592","SP","1997/98","121.7","algodao"
"593","SE","1997/98","1.7","algodao"
"594","TO","1997/98","0","algodao"
"595","AC","1998/99","0","algodao"
"596","AL","1998/99","6.9000000000000004","algodao"
"597","AP","1998/99","0","algodao"
"598","AM","1998/99","0","algodao"
"599","BA","1998/99","44.5","algodao"
"600","CE","1998/99","64.099999999999994","algodao"
"601","DF","1998/99","0","algodao"
"602","ES","1998/99","0","algodao"
"603","GO","1998/99","110.2","algodao"
"604","MA","1998/99","0","algodao"
"605","MT","1998/99","203.30000000000001","algodao"
"606","MS","1998/99","47.700000000000003","algodao"
"607","MG","1998/99","53.600000000000001","algodao"
"608","PA","1998/99","0","algodao"
"609","PB","1998/99","13.9","algodao"
"610","PR","1998/99","50.100000000000001","algodao"
"611","PE","1998/99","2.6000000000000001","algodao"
"612","PI","1998/99","5.2999999999999998","algodao"
"613","RJ","1998/99","0","algodao"
"614","RN","1998/99","14.1","algodao"
"615","RS","1998/99","0","algodao"
"616","RO","1998/99","0.80000000000000004","algodao"
"617","RR","1998/99","2.5","algodao"
"618","SC","1998/99","0","algodao"
"619","SP","1998/99","73","algodao"
"620","SE","1998/99","1.3","algodao"
"621","TO","1998/99","0","algodao"
"622","AC","1999/00","0","algodao"
"623","AL","1999/00","7.2999999999999998","algodao"
"624","AP","1999/00","0","algodao"
"625","AM","1999/00","0","algodao"
"626","BA","1999/00","57.899999999999999","algodao"
"627","CE","1999/00","109","algodao"
"628","DF","1999/00","0.69999999999999996","algodao"
"629","ES","1999/00","0","algodao"
"630","GO","1999/00","90.400000000000006","algodao"
